0;2+2=?;4;sqrt(16);2^2;2*2;1,2,3,4;4
1;Jak nazywa sie tworca jezyka Java?;Yukihiro Matsumoto;James Gosling;Nick Jonas;Anders Hejlsberg;2;1
2;Jezyki obiektowe z podanych to?;C;C++;Java;Matlab;2,3;2
3;Ktory skrot klawiatury zapisze plik?;Ctrl+z;Ctrl+s;Ctrl+c;Ctrl+x;2;1
4;Dokoncz zdanie.Sol kuchenna to chlorek ...?;Sodu;Potasu;Magnezu;Srebra;1;1
5;Autorem Lalki jest?;Adam Mickiewicz;Boleslaw Prus;Stanislaw Wyspianski;Maria Konopnicka;2;1
6;Stolica Polski to?;Warszawa;Krakow;Gdansk;Torun;1;1
7;Firma która zalozyl Bill Gates to?;Dell;Facebook;Snapchat;Microsoft;4;1
8;Ile wynosi pierwiastek kwadratowy ze 144?;12;11;3*4;4*3;1,3,4;3
9;W ktorym kraju znajduje sie Cannes?;Stany Zjednoczone;Wlochy;Francja;Hiszpania;3;1
